PDB_ID,Experimental_Method
7NCC,X-RAY DIFFRACTION
2I22,X-RAY DIFFRACTION
5VT0,ELECTRON MICROSCOPY
1T7L,X-RAY DIFFRACTION
7AM4,X-RAY DIFFRACTION
1Z63,X-RAY DIFFRACTION
2KJ8,SOLUTION NMR
1Z48,X-RAY DIFFRACTION
6N5I,X-RAY DIFFRACTION
2V36,X-RAY DIFFRACTION
8SAJ,ELECTRON MICROSCOPY
8YSV,X-RAY DIFFRACTION
1T36,X-RAY DIFFRACTION
6WK5,X-RAY DIFFRACTION
1NSJ,X-RAY DIFFRACTION
1EFI,X-RAY DIFFRACTION
5CZS,X-RAY DIFFRACTION
7ALQ,X-RAY DIFFRACTION
6VVB,X-RAY DIFFRACTION
212L,X-RAY DIFFRACTION
7E8R,X-RAY DIFFRACTION
6FAI,ELECTRON MICROSCOPY
7QGN,ELECTRON MICROSCOPY
3MM5,X-RAY DIFFRACTION
1SSN,SOLUTION NMR
7K7B,X-RAY DIFFRACTION
5DPJ,X-RAY DIFFRACTION
1E86,X-RAY DIFFRACTION
4FED,X-RAY DIFFRACTION
6YP7,ELECTRON MICROSCOPY
1NHT,X-RAY DIFFRACTION
6OMF,ELECTRON MICROSCOPY
4V7S,X-RAY DIFFRACTION
3SEV,X-RAY DIFFRACTION
1RU1,X-RAY DIFFRACTION
6SGT,ELECTRON MICROSCOPY
6QA7,X-RAY DIFFRACTION
4YG2,X-RAY DIFFRACTION
8OY0,X-RAY DIFFRACTION
8RCS,ELECTRON MICROSCOPY
2IQ0,X-RAY DIFFRACTION
2DC0,X-RAY DIFFRACTION
8BRW,X-RAY DIFFRACTION
8Q7D,ELECTRON MICROSCOPY
1CU5,X-RAY DIFFRACTION
4XGB,X-RAY DIFFRACTION
4K5N,X-RAY DIFFRACTION
1BUL,X-RAY DIFFRACTION
4LJ4,X-RAY DIFFRACTION
8FC3,X-RAY DIFFRACTION
8H1I,X-RAY DIFFRACTION
5LEE,X-RAY DIFFRACTION
3ZEU,X-RAY DIFFRACTION
2VL2,X-RAY DIFFRACTION
3DN6,X-RAY DIFFRACTION
5BNE,X-RAY DIFFRACTION
1Y42,X-RAY DIFFRACTION
2XZW,X-RAY DIFFRACTION
5E38,X-RAY DIFFRACTION
6JLO,X-RAY DIFFRACTION
1S5B,X-RAY DIFFRACTION
7PI8,ELECTRON MICROSCOPY
9F09,X-RAY DIFFRACTION
8SLC,X-RAY DIFFRACTION
183L,X-RAY DIFFRACTION
8Q5A,X-RAY DIFFRACTION
4N67,X-RAY DIFFRACTION
7WMF,X-RAY DIFFRACTION
3MTD,X-RAY DIFFRACTION
1YQW,X-RAY DIFFRACTION
1GRU,ELECTRON MICROSCOPY
4X4L,X-RAY DIFFRACTION
7QK9,X-RAY DIFFRACTION
4DX7,X-RAY DIFFRACTION
6JGH,X-RAY DIFFRACTION
1KL2,X-RAY DIFFRACTION
3AKO,X-RAY DIFFRACTION
6YAC,ELECTRON MICROSCOPY
6KUG,X-RAY DIFFRACTION
8BRE,X-RAY DIFFRACTION
6MMZ,X-RAY DIFFRACTION
4UP6,X-RAY DIFFRACTION
2X56,X-RAY DIFFRACTION
4BRR,X-RAY DIFFRACTION
6J3C,X-RAY DIFFRACTION
6RPD,X-RAY DIFFRACTION
3TQI,X-RAY DIFFRACTION
2ZFG,X-RAY DIFFRACTION
6AA6,X-RAY DIFFRACTION
1KW7,X-RAY DIFFRACTION
5JJC,X-RAY DIFFRACTION
8DVF,ELECTRON MICROSCOPY
3TPT,X-RAY DIFFRACTION
8IZ1,X-RAY DIFFRACTION
7TJG,X-RAY DIFFRACTION
6QWI,X-RAY DIFFRACTION
5RPX,X-RAY DIFFRACTION
6T7Q,X-RAY DIFFRACTION
1D3J,X-RAY DIFFRACTION
3M5W,X-RAY DIFFRACTION
3K6L,X-RAY DIFFRACTION
4WRH,X-RAY DIFFRACTION
2GC6,X-RAY DIFFRACTION
3Q65,X-RAY DIFFRACTION
3FJ6,X-RAY DIFFRACTION
7LNL,X-RAY DIFFRACTION
2DUF,X-RAY DIFFRACTION
2NP0,X-RAY DIFFRACTION
3DGA,X-RAY DIFFRACTION
1HNX,X-RAY DIFFRACTION
4W6K,X-RAY DIFFRACTION
5IQZ,X-RAY DIFFRACTION
3ZQ0,ELECTRON MICROSCOPY
4XN0,X-RAY DIFFRACTION
4YFK,X-RAY DIFFRACTION
7E78,X-RAY DIFFRACTION
8QL3,X-RAY DIFFRACTION
1ZQ5,X-RAY DIFFRACTION
6YST,ELECTRON MICROSCOPY
6TFA,X-RAY DIFFRACTION
8ELA,X-RAY DIFFRACTION
3PJU,X-RAY DIFFRACTION
1XKX,X-RAY DIFFRACTION
7B4T,X-RAY DIFFRACTION
6GFP,X-RAY DIFFRACTION
8URI,ELECTRON MICROSCOPY
6J1A,X-RAY DIFFRACTION
5EE0,X-RAY DIFFRACTION
7L4D,X-RAY DIFFRACTION
4R4J,X-RAY DIFFRACTION
1TR1,X-RAY DIFFRACTION
4AIN,X-RAY DIFFRACTION
4PMH,X-RAY DIFFRACTION
5NWT,X-RAY DIFFRACTION
6B8S,X-RAY DIFFRACTION
7DAW,X-RAY DIFFRACTION
1J9I,SOLUTION NMR
6ACI,X-RAY DIFFRACTION
3GT3,X-RAY DIFFRACTION
4KRA,X-RAY DIFFRACTION
9DI6,X-RAY DIFFRACTION
8UOZ,SOLUTION NMR
3I34,X-RAY DIFFRACTION
3QHY,X-RAY DIFFRACTION
1CFZ,X-RAY DIFFRACTION
6H2G,X-RAY DIFFRACTION
5XJ1,X-RAY DIFFRACTION
9FV6,ELECTRON MICROSCOPY
7E9A,X-RAY DIFFRACTION
4BLS,X-RAY DIFFRACTION
5WJZ,ELECTRON MICROSCOPY
4ASY,X-RAY DIFFRACTION
7UK8,X-RAY DIFFRACTION
3LGT,X-RAY DIFFRACTION
2CXO,X-RAY DIFFRACTION
8ORN,X-RAY DIFFRACTION
7NST,ELECTRON MICROSCOPY
4X4R,X-RAY DIFFRACTION
3HVS,X-RAY DIFFRACTION
8GTK,X-RAY DIFFRACTION
2RN2,X-RAY DIFFRACTION
8QBY,ELECTRON MICROSCOPY
3RSH,X-RAY DIFFRACTION
7WAK,X-RAY DIFFRACTION
4IJ1,X-RAY DIFFRACTION
9FW4,X-RAY DIFFRACTION
8VTZ,X-RAY DIFFRACTION
4BHC,X-RAY DIFFRACTION
6XNC,X-RAY DIFFRACTION
3Q9N,X-RAY DIFFRACTION
6W2J,X-RAY DIFFRACTION
7EGT,X-RAY DIFFRACTION
8HSB,ELECTRON MICROSCOPY
5ZNZ,X-RAY DIFFRACTION
3A3N,X-RAY DIFFRACTION
171L,X-RAY DIFFRACTION
8PHN,X-RAY DIFFRACTION
8UVS,X-RAY DIFFRACTION
3DNJ,X-RAY DIFFRACTION
1MP0,X-RAY DIFFRACTION
1YN5,X-RAY DIFFRACTION
8XM2,X-RAY DIFFRACTION
1SW4,X-RAY DIFFRACTION
7BM8,X-RAY DIFFRACTION
3HMC,X-RAY DIFFRACTION
5WHU,X-RAY DIFFRACTION
3J81,ELECTRON MICROSCOPY
3DYB,X-RAY DIFFRACTION
1ODG,X-RAY DIFFRACTION
4LS1,X-RAY DIFFRACTION
8RPX,X-RAY DIFFRACTION
2BKG,X-RAY DIFFRACTION
8AKL,X-RAY DIFFRACTION
6LW8,X-RAY DIFFRACTION
8OOL,X-RAY DIFFRACTION
9FV2,ELECTRON MICROSCOPY
2RU8,SOLUTION NMR
4L1X,X-RAY DIFFRACTION
3QES,X-RAY DIFFRACTION
2VID,X-RAY DIFFRACTION
6ZXG,ELECTRON MICROSCOPY
8JP1,X-RAY DIFFRACTION
2PQ2,X-RAY DIFFRACTION
8G15,ELECTRON MICROSCOPY
4XN1,X-RAY DIFFRACTION
6TR8,SOLUTION NMR
5MKR,X-RAY DIFFRACTION
4QG8,X-RAY DIFFRACTION
6BPP,X-RAY DIFFRACTION
1FWP,SOLUTION NMR
6MTD,ELECTRON MICROSCOPY
1MXC,X-RAY DIFFRACTION
2PDW,X-RAY DIFFRACTION
2X53,X-RAY DIFFRACTION
6QR3,X-RAY DIFFRACTION
4KTW,X-RAY DIFFRACTION
4XOV,X-RAY DIFFRACTION
1S2E,X-RAY DIFFRACTION
3IKV,X-RAY DIFFRACTION
1SM9,X-RAY DIFFRACTION
3QRA,X-RAY DIFFRACTION
1BXT,X-RAY DIFFRACTION
1ZG4,X-RAY DIFFRACTION
2XRS,X-RAY DIFFRACTION
6T3A,X-RAY DIFFRACTION
1T8Y,X-RAY DIFFRACTION
7NP0,X-RAY DIFFRACTION
2Y2M,X-RAY DIFFRACTION
5Y3I,X-RAY DIFFRACTION
5ZEP,ELECTRON MICROSCOPY
4HEV,X-RAY DIFFRACTION
2F2E,X-RAY DIFFRACTION
5WSL,X-RAY DIFFRACTION
4HOY,X-RAY DIFFRACTION
1U1W,X-RAY DIFFRACTION
3PUW,X-RAY DIFFRACTION
2W7Q,X-RAY DIFFRACTION
3HY1,X-RAY DIFFRACTION
5WYQ,X-RAY DIFFRACTION
1B46,X-RAY DIFFRACTION
7JMQ,X-RAY DIFFRACTION
1XXG,X-RAY DIFFRACTION
8G2A,X-RAY DIFFRACTION
4KVB,X-RAY DIFFRACTION
8DP4,X-RAY DIFFRACTION
3VTF,X-RAY DIFFRACTION
8XMI,ELECTRON MICROSCOPY
4LED,X-RAY DIFFRACTION
1OMP,X-RAY DIFFRACTION
5AVW,X-RAY DIFFRACTION
6OC0,X-RAY DIFFRACTION
3N23,X-RAY DIFFRACTION
123L,X-RAY DIFFRACTION
8AJX,X-RAY DIFFRACTION
2CXS,X-RAY DIFFRACTION
6ZV6,ELECTRON MICROSCOPY
7UXE,ELECTRON MICROSCOPY
7QZA,X-RAY DIFFRACTION
6ZXO,X-RAY DIFFRACTION
1H61,X-RAY DIFFRACTION
4YKA,X-RAY DIFFRACTION
4OQV,X-RAY DIFFRACTION
8DES,ELECTRON MICROSCOPY
1E9I,X-RAY DIFFRACTION
3PIL,X-RAY DIFFRACTION
4IWT,X-RAY DIFFRACTION
4JV5,X-RAY DIFFRACTION
7K7C,X-RAY DIFFRACTION
5L9N,X-RAY DIFFRACTION
191L,X-RAY DIFFRACTION
7NWW,ELECTRON MICROSCOPY
9J18,ELECTRON MICROSCOPY
3GDQ,X-RAY DIFFRACTION
3SYR,X-RAY DIFFRACTION
5GTH,X-RAY DIFFRACTION
8AIW,X-RAY DIFFRACTION
2VFM,X-RAY DIFFRACTION
2Z9I,X-RAY DIFFRACTION
6W34,X-RAY DIFFRACTION
6DFU,X-RAY DIFFRACTION
1EKO,X-RAY DIFFRACTION
9D0J,X-RAY DIFFRACTION
8TLC,X-RAY DIFFRACTION
6D9D,X-RAY DIFFRACTION
8IHU,ELECTRON MICROSCOPY
1TKE,X-RAY DIFFRACTION
8WNA,X-RAY DIFFRACTION
9DKQ,X-RAY DIFFRACTION
8I6C,X-RAY DIFFRACTION
7N8O,ELECTRON MICROSCOPY
7DUG,X-RAY DIFFRACTION
1CU6,X-RAY DIFFRACTION
5X8P,ELECTRON MICROSCOPY
7D80,ELECTRON MICROSCOPY
2OL0,X-RAY DIFFRACTION
3I8R,X-RAY DIFFRACTION
9GUV,ELECTRON MICROSCOPY
2VR8,X-RAY DIFFRACTION
7LPI,X-RAY DIFFRACTION
9ABP,X-RAY DIFFRACTION
6T3P,X-RAY DIFFRACTION
1QOF,X-RAY DIFFRACTION
5N53,X-RAY DIFFRACTION
1PG0,X-RAY DIFFRACTION
1JMF,X-RAY DIFFRACTION
8EZ2,X-RAY DIFFRACTION
6U5K,ELECTRON MICROSCOPY
5D04,X-RAY DIFFRACTION
7WDV,X-RAY DIFFRACTION
3OB7,X-RAY DIFFRACTION
1LRT,X-RAY DIFFRACTION
7FIT,X-RAY DIFFRACTION
6PF4,X-RAY DIFFRACTION
6Z7I,X-RAY DIFFRACTION
6Z92,X-RAY DIFFRACTION
7YMI,ELECTRON MICROSCOPY
5UYA,X-RAY DIFFRACTION
1F39,X-RAY DIFFRACTION
3SST,X-RAY DIFFRACTION
7FC2,X-RAY DIFFRACTION
1LBH,X-RAY DIFFRACTION
6DEQ,X-RAY DIFFRACTION
4GO0,X-RAY DIFFRACTION
7PVO,X-RAY DIFFRACTION
5XT8,X-RAY DIFFRACTION
8T3K,ELECTRON MICROSCOPY
1EMJ,X-RAY DIFFRACTION
6Z6J,ELECTRON MICROSCOPY
2LXJ,SOLUTION NMR
1HKH,X-RAY DIFFRACTION
1W7T,X-RAY DIFFRACTION
4Y4O,X-RAY DIFFRACTION
7KSL,ELECTRON MICROSCOPY
2HNF,X-RAY DIFFRACTION
8F0A,ELECTRON MICROSCOPY
5MFU,X-RAY DIFFRACTION
1FPY,X-RAY DIFFRACTION
4YQJ,X-RAY DIFFRACTION
7CN7,X-RAY DIFFRACTION
4PB1,X-RAY DIFFRACTION
6CD0,X-RAY DIFFRACTION
4KT0,X-RAY DIFFRACTION
6IJB,X-RAY DIFFRACTION
8QXU,ELECTRON MICROSCOPY
7SNE,X-RAY DIFFRACTION
6NN8,X-RAY DIFFRACTION
9FZ6,X-RAY DIFFRACTION
7NCY,X-RAY DIFFRACTION
4ESH,X-RAY DIFFRACTION
3RV2,X-RAY DIFFRACTION
5ZZM,ELECTRON MICROSCOPY
4M0R,X-RAY DIFFRACTION
2DBV,X-RAY DIFFRACTION
6JEV,X-RAY DIFFRACTION
5TGA,X-RAY DIFFRACTION
1WFX,X-RAY DIFFRACTION
8DW3,ELECTRON MICROSCOPY
4R5G,X-RAY DIFFRACTION
2XPD,X-RAY DIFFRACTION
1F82,X-RAY DIFFRACTION
7LKO,X-RAY DIFFRACTION
1V9P,X-RAY DIFFRACTION
1JPR,X-RAY DIFFRACTION
5Z6O,X-RAY DIFFRACTION
1L4K,X-RAY DIFFRACTION
8YUP,ELECTRON MICROSCOPY
1VBM,X-RAY DIFFRACTION
3UJ2,X-RAY DIFFRACTION
4U4Q,X-RAY DIFFRACTION
3UY6,X-RAY DIFFRACTION
1SOO,X-RAY DIFFRACTION
4BHB,X-RAY DIFFRACTION
3B1K,X-RAY DIFFRACTION
1L83,X-RAY DIFFRACTION
7ESX,X-RAY DIFFRACTION
3VFJ,X-RAY DIFFRACTION
1N1D,X-RAY DIFFRACTION
3VVG,X-RAY DIFFRACTION
4V8D,X-RAY DIFFRACTION
5D84,X-RAY DIFFRACTION
5H4J,X-RAY DIFFRACTION
7A01,ELECTRON MICROSCOPY
8CCS,ELECTRON MICROSCOPY
8RKN,ELECTRON MICROSCOPY
6WHI,ELECTRON MICROSCOPY
1I5A,X-RAY DIFFRACTION
4HO4,X-RAY DIFFRACTION
3O8S,X-RAY DIFFRACTION
6GPL,X-RAY DIFFRACTION
3M2L,X-RAY DIFFRACTION
3RMA,X-RAY DIFFRACTION
5U4N,X-RAY DIFFRACTION
6RI9,ELECTRON MICROSCOPY
2W01,X-RAY DIFFRACTION
2ERH,X-RAY DIFFRACTION
7ELT,X-RAY DIFFRACTION
2J9D,X-RAY DIFFRACTION
5WJG,X-RAY DIFFRACTION
5WJV,ELECTRON MICROSCOPY
1NGH,X-RAY DIFFRACTION
3SVE,X-RAY DIFFRACTION
3H97,X-RAY DIFFRACTION
3G38,X-RAY DIFFRACTION
3P2V,X-RAY DIFFRACTION
7YE4,ELECTRON MICROSCOPY
1YAI,X-RAY DIFFRACTION
4UFR,X-RAY DIFFRACTION
4ZFV,X-RAY DIFFRACTION
4ZHU,X-RAY DIFFRACTION
1WAT,X-RAY DIFFRACTION
5LOG,X-RAY DIFFRACTION
5AVR,X-RAY DIFFRACTION
8UI8,ELECTRON MICROSCOPY
7A18,X-RAY DIFFRACTION
6VU9,X-RAY DIFFRACTION
5AOU,X-RAY DIFFRACTION
1LYE,X-RAY DIFFRACTION
2GS4,X-RAY DIFFRACTION
8QOE,ELECTRON MICROSCOPY
5LZG,X-RAY DIFFRACTION
6AZ0,ELECTRON MICROSCOPY
7VHP,ELECTRON MICROSCOPY
1KZJ,X-RAY DIFFRACTION
1A7V,X-RAY DIFFRACTION
6KX7,X-RAY DIFFRACTION
8ZUR,X-RAY DIFFRACTION
7CQM,X-RAY DIFFRACTION
7MPI,ELECTRON MICROSCOPY
5SCI,X-RAY DIFFRACTION
7KW8,SOLUTION NMR
8VXB,X-RAY DIFFRACTION
2HIB,X-RAY DIFFRACTION
3TCH,X-RAY DIFFRACTION
5OKJ,X-RAY DIFFRACTION
9F94,X-RAY DIFFRACTION
8IWR,ELECTRON MICROSCOPY
6ONO,X-RAY DIFFRACTION
3O3F,X-RAY DIFFRACTION
4GU7,X-RAY DIFFRACTION
1N8B,X-RAY DIFFRACTION
2NRV,X-RAY DIFFRACTION
1FU8,X-RAY DIFFRACTION
7W22,X-RAY DIFFRACTION
2RD2,X-RAY DIFFRACTION
7DH8,X-RAY DIFFRACTION
4KO4,X-RAY DIFFRACTION
8EVS,ELECTRON MICROSCOPY
8QJE,ELECTRON MICROSCOPY
3PR3,X-RAY DIFFRACTION
3B61,X-RAY DIFFRACTION
5UWX,X-RAY DIFFRACTION
7LGF,ELECTRON MICROSCOPY
6JYY,X-RAY DIFFRACTION
8PJ2,ELECTRON MICROSCOPY
1JIJ,X-RAY DIFFRACTION
1F4E,X-RAY DIFFRACTION
3PQJ,X-RAY DIFFRACTION
1RMY,X-RAY DIFFRACTION
5E7S,X-RAY DIFFRACTION
9EVC,ELECTRON MICROSCOPY
4OWM,X-RAY DIFFRACTION
1SQ3,X-RAY DIFFRACTION
5ZHJ,X-RAY DIFFRACTION
8UNH,ELECTRON MICROSCOPY
4M5G,X-RAY DIFFRACTION
7NG5,ELECTRON MICROSCOPY
7QX8,X-RAY DIFFRACTION
1HM5,X-RAY DIFFRACTION
3F9L,X-RAY DIFFRACTION
8DHG,X-RAY DIFFRACTION
1ENI,X-RAY DIFFRACTION
5OKB,X-RAY DIFFRACTION
1JLH,X-RAY DIFFRACTION
4OX9,X-RAY DIFFRACTION
4EN9,X-RAY DIFFRACTION
4HMN,X-RAY DIFFRACTION
6N84,X-RAY DIFFRACTION
6QS4,ELECTRON MICROSCOPY
1E5V,X-RAY DIFFRACTION
7FJG,X-RAY DIFFRACTION
5TSG,X-RAY DIFFRACTION
8GW5,X-RAY DIFFRACTION
5C7R,X-RAY DIFFRACTION
8XPE,X-RAY DIFFRACTION
1TLC,X-RAY DIFFRACTION
3SH7,X-RAY DIFFRACTION
2RBN,X-RAY DIFFRACTION
4YLP,X-RAY DIFFRACTION
7SYB,X-RAY DIFFRACTION
2AIJ,X-RAY DIFFRACTION
8W5L,ELECTRON MICROSCOPY
184L,X-RAY DIFFRACTION
8URN,X-RAY DIFFRACTION
8Z1V,ELECTRON MICROSCOPY
9AUX,X-RAY DIFFRACTION
7Y52,X-RAY DIFFRACTION
4MCT,X-RAY DIFFRACTION
3KH2,X-RAY DIFFRACTION
6W2Z,X-RAY DIFFRACTION
4FDG,X-RAY DIFFRACTION
1V0J,X-RAY DIFFRACTION
1M54,X-RAY DIFFRACTION
2ZXG,X-RAY DIFFRACTION
4LJ8,X-RAY DIFFRACTION
8BHP,ELECTRON MICROSCOPY
1W7A,X-RAY DIFFRACTION
4PSS,X-RAY DIFFRACTION
1BP0,X-RAY DIFFRACTION
1BOS,X-RAY DIFFRACTION
7AWZ,X-RAY DIFFRACTION
7UWQ,ELECTRON MICROSCOPY
3I9T,X-RAY DIFFRACTION
4IJR,X-RAY DIFFRACTION
1N77,X-RAY DIFFRACTION
6IEO,X-RAY DIFFRACTION
5EU9,X-RAY DIFFRACTION
2R6E,X-RAY DIFFRACTION
8VZ4,X-RAY DIFFRACTION
8JWW,ELECTRON MICROSCOPY
2IDE,X-RAY DIFFRACTION
9MFE,ELECTRON MICROSCOPY
3EBP,X-RAY DIFFRACTION
5EUG,X-RAY DIFFRACTION
4ZJ3,X-RAY DIFFRACTION
1DJC,X-RAY DIFFRACTION
7LNH,X-RAY DIFFRACTION
6P2V,X-RAY DIFFRACTION
4IYT,X-RAY DIFFRACTION
7D8G,X-RAY DIFFRACTION
5MK8,X-RAY DIFFRACTION
6O7F,X-RAY DIFFRACTION
7C5L,X-RAY DIFFRACTION
2ZQD,X-RAY DIFFRACTION
2PRM,X-RAY DIFFRACTION
4IFP,X-RAY DIFFRACTION
1DUI,X-RAY DIFFRACTION
3GUN,X-RAY DIFFRACTION
1JUV,X-RAY DIFFRACTION
4H0U,X-RAY DIFFRACTION
7AM8,X-RAY DIFFRACTION
2DRB,X-RAY DIFFRACTION
2AWL,X-RAY DIFFRACTION
5YHZ,X-RAY DIFFRACTION
3RHM,X-RAY DIFFRACTION
7UQ9,X-RAY DIFFRACTION
7FBC,X-RAY DIFFRACTION
8E79,ELECTRON MICROSCOPY
4I7E,X-RAY DIFFRACTION
1EL3,X-RAY DIFFRACTION
230L,X-RAY DIFFRACTION
3TFW,X-RAY DIFFRACTION
8G9B,ELECTRON MICROSCOPY
8HSL,ELECTRON MICROSCOPY
7OE1,ELECTRON MICROSCOPY
8BRV,X-RAY DIFFRACTION
4O4B,X-RAY DIFFRACTION
5MUV,ELECTRON MICROSCOPY
1QTH,X-RAY DIFFRACTION
3IZ4,ELECTRON MICROSCOPY
2QN7,X-RAY DIFFRACTION
4KBM,X-RAY DIFFRACTION
1IUE,X-RAY DIFFRACTION
8RWK,ELECTRON MICROSCOPY
6NDR,X-RAY DIFFRACTION
8ZCS,X-RAY DIFFRACTION
4KYD,X-RAY DIFFRACTION
6WCE,X-RAY DIFFRACTION
2VR6,X-RAY DIFFRACTION
1CU2,X-RAY DIFFRACTION
8DCK,ELECTRON MICROSCOPY
7RER,ELECTRON MICROSCOPY
1LWK,X-RAY DIFFRACTION
5RPS,X-RAY DIFFRACTION
5I82,X-RAY DIFFRACTION
1OR7,X-RAY DIFFRACTION
8UU4,ELECTRON MICROSCOPY
6GXN,ELECTRON MICROSCOPY
3TH0,X-RAY DIFFRACTION
6CQI,X-RAY DIFFRACTION
5OOV,X-RAY DIFFRACTION
8VR8,ELECTRON MICROSCOPY
6P7F,X-RAY DIFFRACTION
6XU6,ELECTRON MICROSCOPY
3SB9,X-RAY DIFFRACTION
3ZN5,X-RAY DIFFRACTION
2FTC,ELECTRON MICROSCOPY
2TSS,X-RAY DIFFRACTION
3F03,X-RAY DIFFRACTION
7VYH,ELECTRON MICROSCOPY
2MUY,SOLUTION NMR
7LQ9,X-RAY DIFFRACTION
6YXU,ELECTRON MICROSCOPY
8GMU,ELECTRON MICROSCOPY
4DYC,X-RAY DIFFRACTION
2G7N,X-RAY DIFFRACTION
7XLO,X-RAY DIFFRACTION
7MKD,ELECTRON MICROSCOPY
7U50,ELECTRON MICROSCOPY
7YPH,ELECTRON MICROSCOPY
7M4X,ELECTRON MICROSCOPY
1IGS,X-RAY DIFFRACTION
5AW0,X-RAY DIFFRACTION
4BTG,ELECTRON MICROSCOPY
3MRU,X-RAY DIFFRACTION
2QG4,X-RAY DIFFRACTION
6L8F,X-RAY DIFFRACTION
5WBW,X-RAY DIFFRACTION
6DZO,X-RAY DIFFRACTION
4I3U,X-RAY DIFFRACTION
7EFN,X-RAY DIFFRACTION
5VHT,X-RAY DIFFRACTION
6NBB,ELECTRON MICROSCOPY
4DTX,X-RAY DIFFRACTION
3LEP,X-RAY DIFFRACTION
7WAJ,X-RAY DIFFRACTION
2OV5,X-RAY DIFFRACTION
6PSW,ELECTRON MICROSCOPY
1CCH,SOLUTION NMR
5ZDO,X-RAY DIFFRACTION
1EE1,X-RAY DIFFRACTION
4GD3,X-RAY DIFFRACTION
7PH9,ELECTRON MICROSCOPY
5SCL,X-RAY DIFFRACTION
5F2C,X-RAY DIFFRACTION
2B2I,X-RAY DIFFRACTION
7E43,X-RAY DIFFRACTION
2DHT,X-RAY DIFFRACTION
3SEW,X-RAY DIFFRACTION
4ACF,X-RAY DIFFRACTION
4I7P,X-RAY DIFFRACTION
1C4O,X-RAY DIFFRACTION
4O5H,X-RAY DIFFRACTION
1SX7,X-RAY DIFFRACTION
3TWS,X-RAY DIFFRACTION
7VH1,ELECTRON MICROSCOPY
5N6T,X-RAY DIFFRACTION
4LAF,X-RAY DIFFRACTION
1IAT,X-RAY DIFFRACTION
6DDW,X-RAY DIFFRACTION
3V5O,X-RAY DIFFRACTION
5JPD,X-RAY DIFFRACTION
5KLM,X-RAY DIFFRACTION
1WE1,X-RAY DIFFRACTION
4NF0,X-RAY DIFFRACTION
6R4J,X-RAY DIFFRACTION
6KQH,X-RAY DIFFRACTION
1JTQ,X-RAY DIFFRACTION
6W43,X-RAY DIFFRACTION
3S19,X-RAY DIFFRACTION
8EAL,ELECTRON MICROSCOPY
3M4W,X-RAY DIFFRACTION
8KEG,ELECTRON MICROSCOPY
2B4R,X-RAY DIFFRACTION
2CHB,X-RAY DIFFRACTION
5JGV,X-RAY DIFFRACTION
8OZ0,ELECTRON MICROSCOPY
2C9V,X-RAY DIFFRACTION
3BGW,X-RAY DIFFRACTION
8S8H,ELECTRON MICROSCOPY
5CDI,X-RAY DIFFRACTION
1A2O,X-RAY DIFFRACTION
7NHQ,ELECTRON MICROSCOPY
1PDP,ELECTRON MICROSCOPY
4IXR,X-RAY DIFFRACTION
1WYT,X-RAY DIFFRACTION
1EPY,X-RAY DIFFRACTION
5UPV,X-RAY DIFFRACTION
1ZC8,ELECTRON MICROSCOPY
8BKE,X-RAY DIFFRACTION
6QOV,X-RAY DIFFRACTION
3NB9,X-RAY DIFFRACTION
6I7V,X-RAY DIFFRACTION
1T40,X-RAY DIFFRACTION
9G8M,ELECTRON MICROSCOPY
6ZOC,X-RAY DIFFRACTION
6HEF,X-RAY DIFFRACTION
3BR8,X-RAY DIFFRACTION
1N33,X-RAY DIFFRACTION
8FOV,X-RAY DIFFRACTION
8WWZ,X-RAY DIFFRACTION
1XTM,X-RAY DIFFRACTION
6ZO5,X-RAY DIFFRACTION
6WXA,X-RAY DIFFRACTION
6IRQ,X-RAY DIFFRACTION
2HPW,X-RAY DIFFRACTION
4FCW,X-RAY DIFFRACTION
1ZDR,X-RAY DIFFRACTION
3CQY,X-RAY DIFFRACTION
8EX9,ELECTRON MICROSCOPY
1YFR,X-RAY DIFFRACTION
6Z8M,X-RAY DIFFRACTION
8WYF,ELECTRON MICROSCOPY
6U3T,X-RAY DIFFRACTION
5YUL,X-RAY DIFFRACTION
6G0X,X-RAY DIFFRACTION
6ZTM,ELECTRON MICROSCOPY
8CGU,ELECTRON MICROSCOPY
7JXF,X-RAY DIFFRACTION
4S1F,X-RAY DIFFRACTION
2UUB,X-RAY DIFFRACTION
2W3U,X-RAY DIFFRACTION
1TMM,X-RAY DIFFRACTION
4I2R,X-RAY DIFFRACTION
4LJR,X-RAY DIFFRACTION
7NFU,X-RAY DIFFRACTION
7EPJ,X-RAY DIFFRACTION
4Y9N,X-RAY DIFFRACTION
7BPD,X-RAY DIFFRACTION
3QV8,X-RAY DIFFRACTION
4RLV,X-RAY DIFFRACTION
3N2S,X-RAY DIFFRACTION
7FS0,X-RAY DIFFRACTION
160L,X-RAY DIFFRACTION
2W8M,X-RAY DIFFRACTION
2P76,X-RAY DIFFRACTION
8WT3,X-RAY DIFFRACTION
1L55,X-RAY DIFFRACTION
1C8V,X-RAY DIFFRACTION
5NDK,X-RAY DIFFRACTION
8DR7,ELECTRON MICROSCOPY
8WEV,X-RAY DIFFRACTION
6E10,ELECTRON MICROSCOPY
6RBE,ELECTRON MICROSCOPY
5FFN,X-RAY DIFFRACTION
7EHJ,X-RAY DIFFRACTION
4RX3,X-RAY DIFFRACTION
6QOI,X-RAY DIFFRACTION
3EJL,X-RAY DIFFRACTION
1EP0,X-RAY DIFFRACTION
1QYM,X-RAY DIFFRACTION
